species,geo_distance,env_distance,phylo_distance
Abeillia abeillei,9676219.377909597,3.0207747107400444,162.5793875691758
Abroscopus albogularis,10123299.306200257,3.732726731404788,129.74128077413366
Abroscopus schisticeps,9906148.61371829,3.035269488935994,129.74128077413366
Abroscopus superciliaris,10197736.663709288,4.147322328883601,129.7442558659817
Aburria aburri,9659518.888430776,3.236190971461801,188.07138003913968
Acanthagenys rufogularis,10494923.342866559,5.096876933000867,137.81084344583087
Acanthisitta chloris,10673346.109149534,4.130961857093991,155.63646184601475
Acanthiza apicalis,10492674.527882628,4.713009896893475,138.0616581641107
Acanthiza chrysorrhoa,10496646.17136886,4.827557029992394,138.0683501134351
Acanthiza ewingii,10540649.726627823,3.854001729122304,138.06128737272186
Acanthiza inornata,10466398.674247228,3.990558842685796,138.05927556869185
Acanthiza iredalei,10494115.44215172,4.485458742836903,138.05980999033582
Acanthiza katherina,10544144.485894607,3.691865612732466,138.06024529048463
Acanthiza lineata,10550294.89784982,4.131667837283701,138.0683501134351
Acanthiza murina,10524027.952778159,5.5015905431216785,138.06699074976967
Acanthiza nana,10543134.549463183,4.219719794985447,138.06699074976967
Acanthiza pusilla,10552620.658367833,4.137494098601059,138.06024529048463
Acanthiza reguloides,10546169.182433864,4.224622447092713,138.05927556869185
Acanthiza robustirostris,10494422.569330098,4.698659287762679,138.05980999033582
Acanthiza uropygialis,10494913.924577294,4.8456615820355475,138.05986747342928
Acanthorhynchus superciliosus,10467953.13672196,3.891778840267222,137.86897456628316
Acanthorhynchus tenuirostris,10552462.431658555,3.8821069992795874,137.86897456628316
Acanthornis magna,10538508.190986922,3.8977114153913432,138.08057342278602
Accipiter albogularis,10650274.923064461,9.244935023431303,164.0587503421218
Accipiter badius,8911294.617606765,4.399535764773905,164.0293444337211
Accipiter bicolor,9495133.98376841,3.0705028135068178,164.0584096347436
Accipiter brachyurus,10602339.763238847,8.193010474120255,164.0587503421218
Accipiter brevipes,9328492.42714781,5.369223546842436,164.0305272905984
Accipiter butleri,10151922.050234532,4.0897202185840165,164.0361270701529
Accipiter castanilius,8908299.811381442,3.287934229927116,164.0380026833636
Accipiter cirrocephalus,10499040.166210737,4.36894969012516,164.08544087295203
Accipiter collaris,9535893.45472156,3.876421404169768,164.05717468716793
Accipiter cooperii,9868513.176914757,5.400253837328012,164.0584096347436
Accipiter erythrauchen,10537171.469744971,4.671473698763264,164.0850051299071
Accipiter erythropus,8956901.716522764,3.1365807295514485,164.08523486473362
Accipiter fasciatus,10496068.367261996,4.760371298536216,164.02171836423275
Accipiter francesiae,9358678.508986223,3.3360529422227234,164.04347374575846
Accipiter gentilis,9640514.84141969,6.197804450304568,164.0607669334427
Accipiter griseiceps,10541300.663166983,4.1336443932138245,164.100910469667
Accipiter gularis,10004217.926030613,6.374418413554827,164.0842569239709
Accipiter gundlachi,9626243.995217409,3.078568067552828,164.0380026833636
Accipiter haplochrous,10734268.763873827,3.520098441956096,164.09940281485558
Accipiter henicogrammus,10537182.224232322,4.6781599825447,164.03932786289207
Accipiter henstii,9354768.14058055,3.342752042436958,164.06619950281905
Accipiter imitator,10650533.279319339,9.131088619326762,164.0368804844492
Accipiter luteoschistaceus,10601113.078043692,8.169769966793394,164.07449268236064
Accipiter madagascariensis,9359793.127602858,3.148070165468963,164.04347374875917
Accipiter melanochlamys,10524058.379485125,8.519315665687895,164.02813852411785
Accipiter melanoleucus,8951147.380287642,3.3255536240664165,164.1021190684973
Accipiter meyerianus,10531502.398715293,5.301612077686967,164.02813852411785
Accipiter minullus,9015900.204573931,3.5841346736676627,164.06081891986858
Accipiter nanus,10541756.050964048,3.986203082056166,164.05214877842576
Accipiter nisus,9577838.09134022,6.178944604848011,164.02206782713836
Accipiter novaehollandiae,10551869.615816852,4.130700232350337,164.03688048424945
Accipiter ovampensis,9022705.218178796,3.325372068941875,164.02206782713836
Accipiter poliocephalus,10524607.812430594,5.51193494088727,164.02149168739146
Accipiter poliogaster,9491333.122732718,4.148262315490721,164.02256094493688
Accipiter princeps,10609946.605737412,10.068155999436696,164.05952786193973
Accipiter rhodogaster,10541404.632301671,4.00948662936159,164.07449268236064
Accipiter rufitorques,10887102.407139372,4.857842236281205,164.0392946285549
Accipiter rufiventris,9048179.71190365,3.294276865704069,164.02149168739146
Accipiter soloensis,10216412.90183409,3.640952803233713,164.09893273342632
Accipiter striatus,9930951.603298195,5.524727900816788,164.02229918789257
Accipiter superciliosus,9489172.246558653,3.859514803737406,164.1184981373672
Accipiter tachiro,9032575.338957459,3.3315364152196287,164.03124068189194
Accipiter toussenelii,8929452.63009657,3.1351507282698603,164.1021190684973
Accipiter trinotatus,10541264.194773104,4.117779921152143,164.09893273212643
Accipiter trivirgatus,10060770.983179318,3.07413729234146,164.09940281485558
Accipiter virgatus,10034340.637717498,3.0350865502689683,164.0842569239709
Aceros nipalensis,9899647.036950456,3.062839794801298,164.8570651505549
Achaetops pycnopygius,9082609.646033749,4.647604761753901,130.59372502697923
Acridotheres albocinctus,9960398.730644818,3.1476134359599057,129.42851169257258
Acridotheres cinereus,10542302.957715675,4.098946436424533,129.42854108679796
Acridotheres cristatellus,10167829.478904482,3.6966862365986874,129.42844550146813
Acridotheres fuscus,9820179.326379275,3.4073046659970356,129.42854108679796
Acridotheres ginginianus,9627992.961613158,4.136412480698799,129.43000155321778
Acridotheres grandis,10147315.555618552,3.3974643403622977,129.42844550146813
Acridotheres tristis,9674717.816895274,3.366387561983676,129.43000155321778
Acrobatornis fonsecai,9441840.893722419,3.251838791092159,145.6852138313959
Acrocephalus aequinoctialis,11120726.417164367,3.352087717808667,129.72666784966754
Acrocephalus agricola,9517464.183132214,6.227633041291782,129.75233873952484
Acrocephalus arundinaceus,8924717.676278252,6.073349755188839,129.73054301040878
Acrocephalus australis,10531177.850592406,4.811880982407794,129.72666784966754
Acrocephalus bistrigiceps,10157117.939898858,6.545877135827025,129.75565344504022
Acrocephalus brevipennis,9379044.880269572,3.8603203031503255,129.73451014477246
